Tracking Domain,Old Consent Category,New Consent Category,Vendor Name,Tracker Type,Tracker Name,Tracker Purpose,Tracker Purpose (Source),Vendor Description,Tracker Duration
eloqua.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Oracle Marketing,HTTP Cookie,ELOQUA,This cookie is set by Eloqua and is used to track individual visitors and their use of the site.,FR Original,"Oracle Marketing is a comprehensive, integrated marketing solution available to launch cross-channel marketing programs and unify all prospect and customer marketing signals in a single view.
<br><a href=https://www.oracle.com/legal/terms.html target=_blank aria-label=""Oracle Marketing Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.oracle.com/legal/privacy/ target=_blank aria-label=""Oracle Marketing Data Subject Rights"">Data Subject Rights</a>
<br>",397
embed.tawk.to,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Tawk.to,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A free messaging app that lets you monitor and chat with visitors on your website or from a free customizable page.,
img.en25.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Oracle Marketing,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Oracle Marketing is a comprehensive, integrated marketing solution available to launch cross-channel marketing programs and unify all prospect and customer marketing signals in a single view.
<br><a href=https://www.oracle.com/legal/terms.html target=_blank aria-label=""Oracle Marketing Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.oracle.com/legal/privacy/ target=_blank aria-label=""Oracle Marketing Data Subject Rights"">Data Subject Rights</a>
<br>",
media.flixcar.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Flixmedia,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Delivers rich media content and solutions for enhancing product presentations online.,
media.flixfacts.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Flixmedia,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, Delivers rich media content and solutions for enhancing product presentations online.,
network-a.bazaarvoice.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],"Bazaarvoice, Inc.",Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,," Provides user-generated content solutions, including reviews and ratings for online retailers.",
s334834414.t.eloqua.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Oracle Marketing,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,FR Original,"Oracle Marketing is a comprehensive, integrated marketing solution available to launch cross-channel marketing programs and unify all prospect and customer marketing signals in a single view.
<br><a href=https://www.oracle.com/legal/terms.html target=_blank aria-label=""Oracle Marketing Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.oracle.com/legal/privacy/ target=_blank aria-label=""Oracle Marketing Data Subject Rights"">Data Subject Rights</a>
<br>",
sc-static.net,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Snap Inc.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Snap Inc. is a technology company known for its flagship product, Snapchat, a multimedia messaging app. ",
script.hotjar.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Hotjar,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original, A behavior analytics and user feedback service that helps website owners understand how users interact with their sites.,
smetrics.marketing.lighting.CLIENT_X.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Koninklijke CLIENT_X N.V.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",
smetrics.marketing.CLIENT_X-hue.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],CLIENT_X Hue,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"CLIENT_X Hue offers a range of smart light bulbs, lamps, fixtures and accessories.
<br><a href=https://www.CLIENT_X-hue.com/en-ph/support/legal/terms-conditions target=_blank aria-label=""CLIENT_X Hue Terms and Conditions"">Terms and Conditions</a>
<br>",
smetrics.marketing.signify.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Signify (formerly CLIENT_X Lighting),JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Signify was formerly CLIENT_X Lighting, which became a standalone company following its spin-off from Royal CLIENT_X in 2016. Signify is a lighting with recognized expertise in the development, manufacture and sale of innovative, energy-efficient lighting products, systems, and services.
<br><a href=https://www.signify.com/global/terms-of-use target=_blank aria-label=""Signify (formerly CLIENT_X Lighting) Terms and Conditions"">Terms and Conditions</a>
<br>",
static.cloud.coveo.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Coveo Solutions Inc.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Coveo personalizes every digital experience for customers, partners, dealers, and employees. Coveo combines unified search, analytics and machine learning to deliver relevant information and recommendations across every business interaction, making websites, ecommerce, contact centers and intranets effortless and efficient.",
static.doubleclick.net,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",
tag.demandbase.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],"Demandbase, Inc.",JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Demandbase is passionately dedicated to helping B2B marketers achieve greater business impact.
<br><a href=https://www.demandbase.com/terms-of-use/ target=_blank aria-label=""Demandbase, Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",
tccommercear.vtexassets.com,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],VTEX,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," An e-commerce platform that provides a comprehensive solution for online stores, including marketplace and omnichannel services.",
va.tawk.to,Targeted Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Tawk.to,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original, A free messaging app that lets you monitor and chat with visitors on your website or from a free customizable page.,
www.CLIENT_X.com,Targeted Advertising Cookies,Essential cookies (exempt from consent),Koninklijke CLIENT_X N.V.,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"CLIENT_X is a Dutch diversified technology company focused on improving lives through innovations in the areas of health care, consumer lifestyle and lighting.
<br><a href=https://www.usa.CLIENT_X.com/a-w/terms-of-use.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.usa.CLIENT_X.com/a-w/privacy-notice.html target=_blank aria-label=""Koninklijke CLIENT_X N.V. Data Subject Rights"">Data Subject Rights</a>
<br>",
analytics.tiktok.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],TikTok,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,,"TikTok is a social media platform that allows users to create, share, and discover short-form videos. Launched in 2016 by the Chinese company ByteDance, TikTok quickly gained popularity worldwide, particularly among younger audiences.",
c.amazon-adsystem.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Amazon Advertising,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Amazon Advertising is a division of Amazon that provides advertising solutions for businesses looking to promote their products and reach customers on Amazon's various online platforms. Amazon Advertising offers a range of ad formats and targeting options to help businesses increase visibility, drive traffic, and boost sales on the Amazon marketplace.",
company-target.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],"Demandbase, Inc.",HTTP Cookie,tuuid, Tracks a unique identifier for a specific user session.,,"Demandbase is passionately dedicated to helping B2B marketers achieve greater business impact.
<br><a href=https://www.demandbase.com/terms-of-use/ target=_blank aria-label=""Demandbase, Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",729
connect.facebook.net,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Meta (formerly Facebook),JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Meta is a social technology company that enables people to connect, find communities, and grow businesses.
<br><a href=https://www.facebook.com/legal/terms target=_blank aria-label=""Meta (formerly Facebook) Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.facebook.com/about/privacy/update target=_blank aria-label=""Meta (formerly Facebook) Data Subject Rights"">Data Subject Rights<a>
<br>",
custom.yieldify.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Yieldify,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Yieldify is a marketing technology company that delivers conversion rate optimization for e-commerce companies.
<br><a href=https://www.yieldify.com/terms-and-conditions-home/ target=_blank aria-label=""Yieldify Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.yieldify.com/website-privacy-policy/ target=_blank aria-label=""Yieldify Data Subject Rights"">Data Subject Rights</a>
<br>",
demdex.net,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],"Adobe Audience Manager, Adobe Experience Platform",HTTP Cookie,demdex,"The demdex cookie helps Audience Manger perform basic functions, such as visitor identification, ID synchronization, segmentation, modeling, reporting, and so on.",TrustArc ,"
Adobe Audience Manager is a data management platform that helps build audience profiles so you can identify your valuable segments and use them across any digital channel.
<br><a href=https://www.adobe.com/legal/terms.html target=_blank aria-label=""Adobe Audience Manager, Adobe Experience Platform Terms and Conditions"">Terms and Conditions</a>
<br>",179
doubleclick.net,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,HTTP Cookie,IDE,"The ""IDE"" cookie is used by Google DoubleClick to register and report the website user's actions after viewing or clicking one of the advertiser's ads with the purpose of measuring the efficacy of an ad and to present targeted ads to the user.",TrustArc ,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",389
dpm.demdex.net,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],"Adobe Audience Manager, Adobe Experience Platform",Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,,"
Adobe Audience Manager is a data management platform that helps build audience profiles so you can identify your valuable segments and use them across any digital channel.
<br><a href=https://www.adobe.com/legal/terms.html target=_blank aria-label=""Adobe Audience Manager, Adobe Experience Platform Terms and Conditions"">Terms and Conditions</a>
<br>",
dsum-sec.casalemedia.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Index Exchange Inc.,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,,"Index Exchange is an exchange technology, enabling digital publishers and suppliers to sell ad impressions programmatically and in real time.
<br><a href=http://www.indexexchange.com/terms/ target=_blank aria-label=""Index Exchange Inc. Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.indexexchange.com/privacy/rights-exercising-rights/ target=_blank aria-label=""Index Exchange Inc. Data Subject Rights"">Data Subject Rights</a>
<br>",
fonts.yieldify-production.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Yieldify,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Yieldify is a marketing technology company that delivers conversion rate optimization for e-commerce companies.
<br><a href=https://www.yieldify.com/terms-and-conditions-home/ target=_blank aria-label=""Yieldify Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.yieldify.com/website-privacy-policy/ target=_blank aria-label=""Yieldify Data Subject Rights"">Data Subject Rights</a>
<br>",
googleads.g.doubleclick.net,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",
i.ytimg.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Inc.,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",
img.youtube.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",
linkedin.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],LinkedIn,HTTP Cookie,AnalyticsSyncHistory,Used to store information about the time a sync with the lms_analytics cookie took place for users in the Designated Countries,TrustArc ,"LinkedIn is a business- and employment-oriented social networking service that operates via websites and mobile apps.
<br><a href=https://www.linkedin.com/legal/user-agreement?trk=homepage-basic_footer-user-agreement target=_blank aria-label=""LinkedIn Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.linkedin.com/legal/privacy-policy?trk=homepage-basic_footer-privacy-policy target=_blank aria-label=""LinkedIn Data Subject Rights"">Data Subject Rights</a>
<br>",29
munchkin.marketo.net,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Marketo,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Marketo is a software platform that provides marketing automation solutions for businesses of various sizes. Founded in 2006, Marketo offers a range of tools and functionalities to help marketers automate and streamline their marketing processes, including lead management, email marketing, campaign management, social media marketing, analytics, and more.",
pixel.rubiconproject.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],"Magnite, Inc.",Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,,"Magnite is an independent sell-side ad platform. They will help you win across every channel, every format and on your terms.
<br><a href=https://www.magnite.com/legal/advertising-technology-privacy-policy/ target=_blank aria-label=""Magnite, Inc. Data Subject Rights"">Data Subject Rights</a>
<br>",
px.ads.linkedin.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],LinkedIn,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"LinkedIn is a business- and employment-oriented social networking service that operates via websites and mobile apps.
<br><a href=https://www.linkedin.com/legal/user-agreement?trk=homepage-basic_footer-user-agreement target=_blank aria-label=""LinkedIn Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.linkedin.com/legal/privacy-policy?trk=homepage-basic_footer-privacy-policy target=_blank aria-label=""LinkedIn Data Subject Rights"">Data Subject Rights</a>
<br>",
snapchat.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Snap Inc.,HTTP Cookie,sc_at,Used to identify a visitor across multiple domains.,,"Snap Inc. is a technology company known for its flagship product, Snapchat, a multimedia messaging app. ",389
static.ads-twitter.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Twitter,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original," A social networking service where users post and interact with messages known as ""tweets"".",
stats.g.doubleclick.net,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",
td.yieldify.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Yieldify,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Yieldify is a marketing technology company that delivers conversion rate optimization for e-commerce companies.
<br><a href=https://www.yieldify.com/terms-and-conditions-home/ target=_blank aria-label=""Yieldify Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.yieldify.com/website-privacy-policy/ target=_blank aria-label=""Yieldify Data Subject Rights"">Data Subject Rights</a>
<br>",
tiktok.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],TikTok,HTTP Cookie,_ttp,This cookie is used as a means of tracking your website activity to help us optimise our advertising.,TrustArc ,"TikTok is a social media platform that allows users to create, share, and discover short-form videos. Launched in 2016 by the Chinese company ByteDance, TikTok quickly gained popularity worldwide, particularly among younger audiences.",389
tr.snapchat.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Snap Inc.,Beacon,-,This beacon is intended to track web usage and send collected information to the vendor.,,"Snap Inc. is a technology company known for its flagship product, Snapchat, a multimedia messaging app. ",
www.googleadservices.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",
www.linkedin.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],LinkedIn,HTTP Cookie,bscookie,To store performed actions on the website.,TrustArc ,"LinkedIn is a business- and employment-oriented social networking service that operates via websites and mobile apps.
<br><a href=https://www.linkedin.com/legal/user-agreement?trk=homepage-basic_footer-user-agreement target=_blank aria-label=""LinkedIn Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.linkedin.com/legal/privacy-policy?trk=homepage-basic_footer-privacy-policy target=_blank aria-label=""LinkedIn Data Subject Rights"">Data Subject Rights</a>
<br>",365
www.youtube.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",
youtube.com,Advertising Cookies,Targeted Advertising Cookies (including social media) [Requires consent],Google Advertising Products,HTTP Cookie,VISITOR_INFO1_LIVE,A cookie called ï¿½VISITOR_INFO1_LIVEï¿½ serves a similar purpose for YouTube and is also used to detect and resolve problems with the service.,TrustArc ,"Google Ads is an online advertising platform developed by Google, where advertisers pay to display brief advertisements, service offerings, product listings, video content and generate mobile application installs within the Google ad network to web users.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Advertising Products Terms and Conditions"">Terms and Conditions</a>
<br>",179
52-214-141-247_s-23-216-154-XX_XX-XXXXXXXXXX-clienttons-s.akamaihd.net,Functional Cookies,Performance Cookies [Requires consent],Akamai,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Akamai is a provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.
<br><a href=https://www.akamai.com/us/en/privacy-policies/portal-terms.jsp target=_blank aria-label=""Akamai Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.akamai.com/content/dam/site/en/documents/akamai/akamai-privacy-statement.pdf target=_blank aria-label=""Akamai Data Subject Rights"">Data Subject Rights</a>
<br>",
ajax.googleapis.com,Functional Cookies,Performance Cookies [Requires consent],Google Inc.,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"
Google Inc. is an American multinational technology company that specializes in Internet-related services and products, which includes a search engine, cloud computing, software, and hardware.
<br><a href=https://policies.google.com/terms target=_blank aria-label=""Google Inc. Terms and Conditions"">Terms and Conditions</a>
<br>",
assets.kampyle.com,Functional Cookies,Performance Cookies [Requires consent],Medallia,ETag,-,Etags are used to verify if your browser has the latest version of the asset on the server cached.,FR Original,"Medallia provides software-as-a-service customer experience management.
<br><a href=https://www.medallia.com/terms-of-use/ target=_blank aria-label=""Medallia Terms and Conditions"">Terms and Conditions</a>
<br>",
c.go-mpulse.net,Functional Cookies,Performance Cookies [Requires consent],Akamai,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Akamai is a provider of cloud services for helping enterprises provide secure, high-performing user experiences on any device.
<br><a href=https://www.akamai.com/us/en/privacy-policies/portal-terms.jsp target=_blank aria-label=""Akamai Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.akamai.com/content/dam/site/en/documents/akamai/akamai-privacy-statement.pdf target=_blank aria-label=""Akamai Data Subject Rights"">Data Subject Rights</a>
<br>",
cdn-scripts.signifyd.com,Functional Cookies,Performance Cookies [Requires consent],Signifyd,JavaScript,-,Javascript is used to download functionality from the vendor on the browser.,FR Original,"Signifyd is a SaaS-based, enterprise-grade fraud technology solution for e-commerce stores. It simplifies fraud detection through a financial guarantee, allowing businesses to increase sales while reducing fraud losses.
<br><a href=https://www.signifyd.com/tos/ target=_blank aria-label=""Signifyd Terms and Conditions"">Terms and Conditions</a>
<br><a href=https://www.signifyd.com/privacy/ target=_blank aria-label=""Signifyd Subject Rights"">Data Subject Rights</a>
<br>",
